[Thu Feb 26 20:44:46.185541 2015] [:error] [pid 25802] [client 127.0.0.1:54945] PHP Fatal error:  Class 'Admin_Controller' not found in /home/ikram/Fika/application/controllers/Admin/User_Controller.php on line 5
[Thu Feb 26 21:58:53.687260 2015] [:error] [pid 32002] [client 127.0.0.1:55495] PHP Fatal error:  Class 'Admin_Controller' not found in /home/ikram/Fika/application/controllers/Admin/User_Controller.php on line 5
[Thu Feb 26 22:00:28.335857 2015] [:error] [pid 25804] [client 127.0.0.1:55503] PHP Fatal error:  Class 'Admin_Controller' not found in /home/ikram/Fika/application/controllers/Admin/User_Controller.php on line 5
[Thu Feb 26 22:05:38.798596 2015] [:error] [pid 20553] [client 127.0.0.1:55635] PHP Fatal error:  Class 'Admin_Controller' not found in /home/ikram/Fika/application/controllers/Admin/User_Controller.php on line 5
[Thu Feb 26 22:06:19.141075 2015] [:error] [pid 20552] [client 127.0.0.1:55643] PHP Fatal error:  Class 'Admin_Controller' not found in /home/ikram/Fika/application/controllers/Admin/User_Controller.php on line 5
[Thu Feb 26 22:15:42.816221 2015] [:error] [pid 20553] [client 127.0.0.1:55814] PHP Fatal error:  Class 'Frontend_Controller' not found in /home/ikram/Fika/application/controllers/Admin/User_Controller.php on line 5
[Fri Feb 27 12:31:31.875762 2015] [:error] [pid 4762] [client 127.0.0.1:49235] PHP Fatal error:  Class 'Frontend_Controller' not found in /home/ikram/Fika/application/controllers/page.php on line 9
[Fri Feb 27 12:31:58.138224 2015] [:error] [pid 1255] [client 127.0.0.1:49238] PHP Strict Standards:  Redefining already defined constructor for class MY_Model in /home/ikram/Fika/application/core/MY_Model.php on line 20
[Fri Feb 27 12:40:45.000042 2015] [:error] [pid 4762] [client 127.0.0.1:49320] PHP Warning:  require_once(application/third_party/datamapper/bootstrap.php): failed to open stream: No such file or directory in /home/ikram/Fika/index.php on line 202
[Fri Feb 27 12:40:45.000119 2015] [:error] [pid 4762] [client 127.0.0.1:49320] PHP Fatal error:  require_once(): Failed opening required 'application/third_party/datamapper/bootstrap.php' (include_path='.:/usr/share/php:/usr/share/pear') in /home/ikram/Fika/index.php on line 202
[Fri Feb 27 13:05:53.078085 2015] [:error] [pid 6242] [client 127.0.0.1:49606] PHP Fatal error:  Class 'Frontend_Controller' not found in /home/ikram/Fika/application/controllers/page.php on line 9
[Fri Feb 27 13:21:16.685678 2015] [:error] [pid 1256] [client 127.0.0.1:49712] PHP Fatal error:  Call to undefined method page_m::primary_key() in /home/ikram/Fika/application/core/MY_Model.php on line 94
[Fri Feb 27 13:22:03.882287 2015] [:error] [pid 6243] [client 127.0.0.1:49717] PHP Fatal error:  Call to undefined method page_m::primary_key() in /home/ikram/Fika/application/core/MY_Model.php on line 94
[Wed Mar 04 10:47:02.421408 2015] [:error] [pid 11536] [client 127.0.0.1:38324] PHP Fatal error:  Class 'Admin_Controller' not found in /home/ikram/Fika/application/controllers/Admin/User_Controller.php on line 5
[Wed Mar 04 10:47:08.473088 2015] [:error] [pid 1247] [client 127.0.0.1:38325] PHP Fatal error:  Class 'Admin_Controller' not found in /home/ikram/Fika/application/controllers/Admin/User_Controller.php on line 5
[Wed Mar 04 10:47:54.942849 2015] [:error] [pid 1250] [client 127.0.0.1:38329] PHP Fatal error:  Class 'Admin_Controller' not found in /home/ikram/Fika/application/controllers/Admin/User_Controller.php on line 5
[Thu Mar 05 17:38:30.858280 2015] [:error] [pid 5704] [client 127.0.0.1:33837] PHP Fatal error:  Call to undefined function get_users() in /home/ikram/Fika/application/controllers/auth.php on line 97, referer: http://fika/index.php/Admin/User_Controller/dash
[Thu Mar 05 17:41:37.072135 2015] [:error] [pid 5570] [client 127.0.0.1:33851] PHP Fatal error:  Call to undefined function get_users() in /home/ikram/Fika/application/controllers/auth.php on line 97
[Thu Mar 05 17:45:27.972852 2015] [:error] [pid 5699] [client 127.0.0.1:33853] PHP Fatal error:  Call to undefined function get_user_by_email() in /home/ikram/Fika/application/controllers/auth.php on line 98
